14
(35, 89, 29, 15)
(68, 90, 29, 16)
(102, 90, 29, 16)
(136, 89, 29, 15)
(168, 90, 31, 16)
(204, 90, 29, 16)
(238, 90, 29, 15)
(272, 90, 29, 15)
(306, 91, 29, 15)
(340, 91, 29, 15)
(374, 92, 29, 15)
(408, 93, 29, 16)
(442, 93, 29, 15)
(477, 94, 28, 15)

14
(33, 116, 29, 26)
(66, 116, 28, 27)
(98, 116, 29, 26)
(131, 116, 29, 27)
(165, 116, 28, 26)
(198, 116, 28, 27)
(232, 116, 28, 27)
(265, 117, 27, 26)
(299, 117, 27, 26)
(332, 118, 29, 26)
(366, 118, 28, 25)
(399, 119, 28, 26)
(432, 119, 27, 27)
(472, 120, 41, 25)

14
(37, 147, 40, 27)
(76, 147, 27, 27)
(109, 147, 29, 27)
(143, 148, 28, 26)
(176, 148, 29, 27)
(210, 148, 29, 27)
(244, 149, 28, 28)
(278, 149, 28, 27)
(312, 149, 28, 27)
(345, 150, 27, 27)
(379, 150, 27, 27)
(413, 151, 29, 27)
(446, 152, 29, 26)
(480, 152, 29, 26)

13
(40, 180, 52, 26)
(85, 180, 30, 27)
(118, 180, 29, 27)
(152, 180, 29, 27)
(186, 181, 29, 27)
(220, 181, 28, 27)
(254, 181, 29, 27)
(288, 182, 29, 27)
(322, 182, 29, 25)
(356, 183, 27, 27)
(390, 183, 29, 27)
(424, 184, 29, 26)
(470, 185, 52, 27)

12
(46, 213, 69, 26)
(100, 213, 29, 27)
(134, 214, 29, 28)
(168, 214, 29, 28)
(202, 215, 29, 28)
(236, 215, 29, 28)
(271, 215, 29, 27)
(305, 216, 28, 28)
(339, 216, 29, 27)
(374, 216, 29, 27)
(408, 217, 29, 27)
(463, 218, 70, 27)

10
(24, 249, 31, 34)
(58, 249, 30, 33)
(92, 250, 30, 35)
(129, 251, 35, 34)
(235, 252, 164, 33)
(340, 253, 35, 35)
(378, 254, 28, 35)
(413, 263, 29, 17)
(448, 255, 29, 35)
(483, 264, 31, 17)

